Ticker,Actural,Estimated,Released
CSX,0.55,0.64,2017-07-18T16:00:00
CTAS,1.32,1.13,2016-12-22T16:00:00
CTL,0.03,0.46,2017-08-02T16:00:00
CTLT,0.14,0.1757,2017-02-06T16:00:00
CTSH,0.8,0.7834,2017-08-03T16:00:00
CTXS,0.72,0.7073,2017-08-02T16:00:00
CUBE,0.18,0.18,2017-07-27T16:00:00
CVS,1.07,1.33,2017-08-08T16:00:00
CVX,0.77,0.9086,2017-07-28T16:00:00
CW,1.15,1.13,2017-07-26T16:00:00
CXO,1.02,0.52,2017-08-02T16:00:00
CXP,0.01,0.0093,2017-07-27T16:00:00
CY,-0.05,-0.0625,2017-07-27T16:00:00
CZR,-9.62,-1.5288,2017-08-03T16:00:00
D,0.62,0.67,2017-08-02T16:00:00
DAL,1.63,1.64,2017-07-13T16:00:00
DATA,-0.54,-0.5416,2017-08-02T16:00:00
DCI,0.35,0.35,2017-03-01T16:00:00
DEI,0.129,0.129,2017-08-01T16:00:00
DFS,1.4037,1.4037,2017-07-26T16:00:00
DG,1.08,1.08,2016-08-25T16:00:00
DGX,1.4,1.55,2017-07-25T16:00:00
DHI,0.61,0.6049,2017-04-20T16:00:00
DHR,0.8,0.99,2017-07-20T16:00:00
DIS,1.51,1.5009,2017-05-09T16:00:00
DISCA,0.65,0.68,2017-07-31T16:00:00
DISCK,0.65,0.68,2017-07-31T16:00:00
DISH,0.09,0.4975,2017-08-03T16:00:00
DLB,0.5,0.487,2017-04-26T16:00:00
DLR,0.36,0.4454,2017-07-27T16:00:00
DNB,1.22,1.4,2017-08-02T16:00:00
DNKN,0.56,0.64,2017-07-27T16:00:00
DOV,1.05,1.04,2017-07-20T16:00:00
DOX,0.77,0.7313,2017-05-09T16:00:00
DPZ,1.37,1.3228,2017-07-25T16:00:00
DRE,3.3724,3.2707,2017-07-26T16:00:00
DRI,0.65,0.64,2016-12-20T16:00:00
DTE,0.99,1.07,2017-07-26T16:00:00
DUK,0.98,1.01,2017-08-03T16:00:00
DVA,0.66,0.92,2017-08-01T16:00:00
DVN,0.4154,0.34,2017-08-01T16:00:00
DXCM,0.03,-0.16,2017-08-01T16:00:00
EA,-0.13,-0.1003,2016-11-01T16:00:00
EBAY,0.03,0.308,2017-07-20T16:00:00
ECL,1.02,1.13,2017-08-01T16:00:00
ED,0.57,0.58,2017-08-03T16:00:00
EEFT,0.98,1.0982,2017-07-25T16:00:00
EFX,1.37,1.6,2017-07-26T16:00:00
EHC,0.7,0.71,2017-07-31T16:00:00
EIX,0.85,0.85,2017-07-27T16:00:00
EL,1.17,1.22,2017-02-02T16:00:00
ELS,0.46,0.45,2017-07-17T16:00:00
EMN,2.01,1.98,2017-07-27T16:00:00
EMR,0.45,0.58,2017-05-02T16:00:00
ENR,0.76,0.5,2017-05-03T16:00:00
EOG,0.04,0.08,2017-08-01T16:00:00
EPAM,0.72,0.685,2017-08-03T16:00:00
EPR,1.02,0.8873,2017-08-03T16:00:00
EQC,-0.06,0.1574,2017-07-24T16:00:00
EQIX,0.59,0.9382,2017-08-02T16:00:00
EQR,0.53,0.3023,2017-07-25T16:00:00
EQT,0.24,0.06,2017-07-27T16:00:00
ERIE,1.2012,1.1182,2017-07-27T16:00:00
ES,0.72,0.72,2017-07-27T16:00:00
ESRT,0.105,0.0556,2017-07-26T16:00:00
ESRX,1.38,1.73,2017-07-25T16:00:00
ESS,1.08,1.0422,2017-07-27T16:00:00
ETFC,0.7,0.5186,2017-07-20T16:00:00
ETN,1.16,1.15,2017-08-01T16:00:00
ETR,2.28,3.11,2017-08-02T16:00:00
EVR,0.45,1.06,2017-07-27T16:00:00
EW,0.88,1.08,2017-07-26T16:00:00
EWBC,0.82,0.8073,2017-07-20T16:00:00
EXAS UR Equity,-0.27,-0.27,2017-07-25T16:00:00
EXC,0.1,0.54,2017-08-02T16:00:00
EXEL,0.06,0.0696,2017-08-02T16:00:00
EXP,1.26,1.25,2016-10-24T16:00:00
EXPD,0.6,0.598,2017-08-08T16:00:00
EXPE,0.37,0.448,2017-07-27T16:00:00
EXR,0.69,0.69,2017-08-01T16:00:00
F,0.51,0.56,2017-07-26T16:00:00
FAF,1.1,1.09,2017-07-27T16:00:00
FANG,1.61,1.4,2017-08-01T16:00:00
FAST,0.52,0.52,2017-07-12T16:00:00
FB,1.34,1.3182,2017-07-26T16:00:00
FBHS,0.89,0.92,2017-08-02T16:00:00
FCE/A,0.22,0.2296,2017-08-03T16:00:00
FCX,0.18,0.17,2017-07-25T16:00:00
FDC,0.2,0.2249,2017-08-07T16:00:00
FDS,1.69,1.81,2017-03-28T16:00:00
FDX,2.63,2.8,2016-12-20T16:00:00
FE,0.39,0.61,2017-07-27T16:00:00
FEYE,-0.39,-0.4,2017-08-01T16:00:00
FFIV,1.44,1.4306,2017-04-26T16:00:00
FHB,0.41,0.41,2017-07-27T16:00:00
FHN,0.39,0.2732,2017-07-14T16:00:00
FICO,0.81,0.6659,2017-04-27T16:00:00
FIS,0.42,1.02,2017-08-02T16:00:00
FISV,0.52,0.595,2017-08-01T16:00:00
FITB,0.46,0.46,2017-07-21T16:00:00
FLIR,0.38,0.42,2017-07-26T16:00:00
FLR,-0.17,-0.17,2017-08-03T16:00:00
FLS,0.32,0.22,2017-07-27T16:00:00
FLT,1.42,1.99,2017-08-03T16:00:00
FMC,0.56,0.48,2017-08-01T16:00:00
FNB,0.22,0.23,2017-07-20T16:00:00
FND,0.22,0.2,2017-07-27T16:00:00
FNF,1.0923,0.75,2017-07-19T16:00:00
FOX,0.46,0.53,2017-02-06T16:00:00
FOXA,0.46,0.53,2017-02-06T16:00:00
FRC,1.1,1.0611,2017-07-14T16:00:00
FRT,1.05,0.7925,2017-08-02T16:00:00
FSLR,0.5,0.64,2017-07-27T16:00:00
FTNT,0.13,0.1278,2017-07-26T16:00:00
FTV,0.69,0.71,2017-07-27T16:00:00
FWONA,-1.0542,0.1132,2017-08-09T16:00:00
G,0.36,0.3759,2017-08-02T16:00:00
GD,2.5,2.45,2017-07-26T16:00:00
GDDY,0.2,0.1681,2017-08-08T16:00:00
GDI,-0.83,0.24,2017-08-02T16:00:00
GE,0.1,0.28,2017-07-21T16:00:00
GGG,0.16,0.46,2017-07-26T16:00:00
GILD,2.35,2.3607,2017-07-26T16:00:00
GIS,0.82,0.85,2016-12-20T16:00:00
GLW,0.46,0.42,2017-07-26T16:00:00
GM,1.11,1.89,2017-07-25T16:00:00
GNTX,0.31,0.31,2017-07-21T16:00:00
GOOGL,5.09,8.9167,2017-07-24T16:00:00
GPC,1.29,1.29,2017-07-20T16:00:00
GPK,0.14,0.15,2017-07-25T16:00:00
GPN,0.44,0.5128,2017-08-03T16:00:00
GRA,0.64,0.84,2017-07-27T16:00:00
GRMN,0.94,0.88,2017-08-02T16:00:00
GRUB,0.17,0.2171,2017-08-03T16:00:00
GS,4,3.95,2017-07-18T16:00:00
GT,0.58,0.7,2017-07-28T16:00:00
GWR,0.75,0.8,2017-08-01T16:00:00
GWRE,0.05,0.0531,2017-03-02T16:00:00
GWW,1.68,2.74,2017-07-19T16:00:00
H,0.82,0.52,2017-08-03T16:00:00
HAIN,0.26,0.2781,2017-06-22T16:00:00
HAL,0.03,0.23,2017-07-24T16:00:00
HAS,0.54,0.5317,2017-07-24T16:00:00
HBAN,0.23,0.26,2017-07-21T16:00:00
HBI,0.47,0.53,2017-08-01T16:00:00
HCA,1.79,1.75,2017-07-25T16:00:00
HCP,0.04,0.0403,2017-08-01T16:00:00
HE,0.36,0.36,2017-08-03T16:00:00
HES,-1.46,-1.46,2017-07-26T16:00:00
HFC,0.33,0.66,2017-08-02T16:00:00
HGV,0.51,0.51,2017-08-02T16:00:00
HHC,0.08,0.0725,2017-08-07T16:00:00
HIG,-0.11,1.04,2017-07-27T16:00:00
HII,3.22,3.21,2017-08-03T16:00:00
HIW,0.37,0.3429,2017-07-25T16:00:00
HLF,0.845,0.755,2017-08-01T16:00:00
HLT,0.46,0.52,2017-07-26T16:00:00
HOG,1.48,1.4765,2017-07-18T16:00:00
HOLX,1.88,0.5,2017-05-10T16:00:00
HON,1.82,1.8,2017-07-21T16:00:00
HP,-0.45,-0.4665,2017-04-27T16:00:00
HPP,0.02,0.02,2017-08-03T16:00:00
HPT,0.37,0.37,2017-08-09T16:00:00
HRB,-0.68,-0.67,2016-12-07T16:00:00
HRC,0.52,0.88,2017-04-28T16:00:00
HRS,1.42,1.42,2017-02-02T16:00:00
HSIC,0.43,0.875,2017-08-08T16:00:00
HST,0.28,0.2842,2017-07-26T16:00:00
HSY,0.955,1.09,2017-07-26T16:00:00
HTA,-0.03,0.0729,2017-07-31T16:00:00
HUBB,1.44,1.43,2017-07-25T16:00:00
HUM,4.49,3.49,2017-08-02T16:00:00
HUN,0.7,0.85,2017-07-27T16:00:00
HXL,0.68,0.67,2017-07-24T16:00:00
IAC,0.84,0.6668,2017-08-02T16:00:00
IART,0.14,0.45,2017-07-26T16:00:00
IBKR VF Equity,0.33,0.41,2017-07-18T16:00:00
IBM,2.49,2.97,2017-07-18T16:00:00
ICE,0.71,0.75,2017-08-03T16:00:00
ICUI,-1.87,0.2842,2017-08-09T16:00:00
IDXX,0.97,0.9497,2017-08-01T16:00:00
IEX,1.1,1.08,2017-07-25T16:00:00
IFF,1.39,1.5,2017-08-08T16:00:00
IGT,-1.43,0.15,2017-08-01T16:00:00
ILMN,0.87,0.82,2017-08-01T16:00:00
INCY,-0.06,0.026,2017-08-01T16:00:00
INFO,0.25,0.2972,2017-06-27T16:00:00
INGR,1.81,1.89,2017-08-01T16:00:00
INTC,0.6,0.72,2017-07-27T16:00:00
INTU,0.05,0.0725,2017-02-23T16:00:00
INVH,0.02,-0.0115,2017-08-10T16:00:00
IONS,-0.02,-0.0904,2017-08-08T16:00:00
IP,0.19,0.65,2017-07-27T16:00:00
IPG,0.27,0.27,2017-07-25T16:00:00
IPGP,1.95,1.9255,2017-08-01T16:00:00
IQV,0.28,0.5245,2017-08-03T16:00:00
IR,1.4,1.5002,2017-07-26T16:00:00
IRM,0.3,0.3,2017-07-28T16:00:00
ISRG,0.67,1.7454,2017-07-20T16:00:00
IT,-1.03,0.88,2017-08-08T16:00:00
ITT,0.54,0.65,2017-08-04T16:00:00
ITW,1.7,1.66,2017-07-24T16:00:00
IVZ,0.58,0.64,2017-07-27T16:00:00
JAZZ,1.76,1.7393,2017-08-08T16:00:00
JBHT,0.89,0.8831,2017-07-17T16:00:00
JBL,0.11,0.2725,2017-03-15T16:00:00
JBLU,0.63,0.6365,2017-07-25T16:00:00
JCI,-0.16,0.5,2017-04-27T16:00:00
JEC,0.41,0.78,2017-05-09T16:00:00
JEF,0.16,0.16,2017-07-27T16:00:00
JKHY,0.76,0.7523,2017-02-07T16:00:00
JLL,2.08,1.82,2017-08-02T16:00:00
JNJ,1.42,1.83,2017-07-18T16:00:00
JNPR,0.47,0.4869,2017-07-25T16:00:00
JPM,1.83,1.7126,2017-07-14T16:00:00
